filepath,label,label_idx
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\423_jpg.rf.92ec0f23f05174923771852615fb44e0.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\2775286550813214351_jpg.rf.58779489dbc84a4002084f211fe13bd9.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8110_jpg.rf.be9b542746e8a27b46ddc5d998b88e99.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Illegal Parking Issues\2012-12-15_09_25_05_jpg.rf.d6d6fbf622a9d201abeb185ab45fd01d.jpg,Illegal Parking Issues,2
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\Vandalisme-2022_02_10-11_53_49_1379f604a73f1e0e9dd53f765048cc8d_960x640_thumb_jpg.rf.6b57c27a1008fdbaf9436e1084129289.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\IMG_20180723_123254_jpg.rf.2bad25d6a5a578f5ead9ad63213e313b.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Pothole Issues\34_jpg.rf.8a4ba3a0bebd4ce36860cdd209581d27.jpg,Pothole Issues,5
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Public Cleanliness + Environmental Issues\Vandalism Issues\IMG_20180719_123729_jpg.rf.b4c3e20f1c50c79c3b1bf19af09b3b2f.jpg,Vandalism Issues,6
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Broken Road Sign Issues\IMG_8771_jpg.rf.e92a8c0f51658a677ae5c6c118af4e3f.jpg,Broken Road Sign Issues,0
C:\Users\ASUS\Documents\8\comp258_f25\Final_Project\road_issues_detection\data\Road Issues\Mixed Issues\541_jpg.rf.4edca71786a8550b9afc73152e6e6669.jpg,Mixed Issues,4
